date,channel,campaign,segment,geo,spend,impressions,clicks,leads,MQLs,SQLs,opportunities,closed_won,CAC,CPL,CTR,CVR_stagewise,ROI
2024-01-01,Google Ads,Product Launch,SMB,US,5745.07,383004,13034,1868,1179,272,193,63,90.8,3.08,0.034,0.1433,274.33
2024-01-01,Google Ads,Q1 Brand,MM,APAC,5418.56,361237,15198,1004,639,166,134,24,225.55,5.4,0.0421,0.0661,331.53
2024-01-01,Google Ads,Q2 Demo,ENT,EU,2412.62,160841,4996,173,114,31,24,3,611.22,13.87,0.0311,0.0348,326.21
2024-01-01,Facebook Ads,Q2 Demo,SMB,US,2370.53,296315,6634,1407,857,275,202,54,43.42,1.68,0.0224,0.2121,574.73
2024-01-01,Facebook Ads,Product Launch,MM,US,2399.36,299920,5648,370,231,69,48,13,179.1,6.48,0.0188,0.0656,417.75
2024-01-01,Facebook Ads,Webinar Series,ENT,Canada,2770.55,346318,7465,231,163,50,37,6,407.81,11.96,0.0216,0.031,489.43
2024-01-01,LinkedIn,Q1 Brand,SMB,US,647.69,25907,1205,139,94,24,20,4,132.29,4.64,0.0465,0.1158,187.98
2024-01-01,LinkedIn,Q1 Brand,MM,EU,230.66,9226,342,18,13,2,2,0,230.66,12.75,0.0371,0.0529,176.1
2024-01-01,LinkedIn,Q2 Demo,ENT,US,1661.54,66461,3356,219,165,35,27,4,339.87,7.56,0.0505,0.0655,587.46
2024-01-01,Content Marketing,Webinar Series,SMB,EU,547.55,109510,2003,227,151,52,43,9,55.06,2.41,0.0183,0.1136,453.07
2024-01-01,Content Marketing,Product Launch,MM,Canada,978.4,195679,3524,312,235,73,62,10,89.58,3.13,0.018,0.0887,836.24
2024-01-01,Content Marketing,Q2 Demo,ENT,Canada,2011.69,402337,4924,216,134,27,22,3,590.45,9.28,0.0122,0.044,337.72
2024-01-02,Google Ads,Webinar Series,SMB,APAC,5137.64,342509,7222,809,552,193,144,38,132.66,6.35,0.0211,0.1121,187.46
2024-01-02,Google Ads,Q1 Brand,MM,EU,4681.76,312117,9991,919,712,256,189,46,100.36,5.09,0.032,0.092,746.29
2024-01-02,Google Ads,Product Launch,ENT,Canada,5145.62,343041,14332,565,365,104,90,12,407.8,9.1,0.0418,0.0395,489.44
2024-01-02,Facebook Ads,Q3 Feature,SMB,APAC,344.82,43102,921,97,65,25,19,4,75.72,3.54,0.0214,0.1058,329.14
2024-01-02,Facebook Ads,Q2 Demo,MM,EU,4886.19,610773,12641,1089,863,216,172,34,143.51,4.48,0.0207,0.0862,521.61
2024-01-02,Facebook Ads,Q3 Feature,ENT,US,1927.47,240933,3862,199,139,29,22,3,634.81,9.68,0.016,0.0515,314.05
2024-01-02,LinkedIn,Q1 Brand,SMB,Canada,461.53,18461,880,104,83,20,17,3,139.4,4.41,0.0477,0.1188,178.34
2024-01-02,LinkedIn,Q1 Brand,MM,APAC,344.93,13797,716,43,31,10,8,2,161.89,7.92,0.052,0.0608,462.28
2024-01-02,LinkedIn,Q3 Feature,ENT,APAC,1504.73,60189,2401,123,90,18,14,2,751.63,12.17,0.0399,0.0515,265.09
2024-01-02,Content Marketing,Q1 Brand,SMB,Canada,1194.73,238945,2707,377,255,98,71,14,81.24,3.17,0.0113,0.1393,306.73
2024-01-02,Content Marketing,Webinar Series,MM,US,765.02,153004,2147,213,163,50,40,6,124.07,3.58,0.014,0.0995,603.49
2024-01-02,Content Marketing,Q4 Holiday,ENT,US,902.65,180530,2596,73,49,17,14,2,324.14,12.24,0.0144,0.0284,616.01
2024-01-03,Google Ads,Webinar Series,SMB,APAC,5375.74,358382,13412,1281,810,307,252,66,81.34,4.2,0.0374,0.0955,306.36
2024-01-03,Google Ads,Product Launch,MM,APAC,5262.25,350816,9290,977,630,215,161,40,128.96,5.39,0.0265,0.1052,580.6
2024-01-03,Google Ads,Webinar Series,ENT,EU,6737.89,449192,13141,846,619,194,139,22,297.07,7.96,0.0293,0.0645,672.24
2024-01-03,Facebook Ads,Product Launch,SMB,US,1630.13,203766,3446,522,379,136,109,25,62.8,3.12,0.0169,0.1516,397.08
2024-01-03,Facebook Ads,Q1 Brand,MM,EU,2735.34,341917,10558,1003,658,134,111,18,147.63,2.73,0.0309,0.095,507.03
