deal_id,account,segment,owner,stage,amount,created_at,expected_close,last_stage_change,days_in_stage,probability,expected_value,status,source_channel
DEAL_0001,Account_470,SMB,Alice Johnson,Closed_Won,25737.7,2025-05-26,2025-07-16,2025-05-29,124,0.983,25292.88,Closed_Won,Content Marketing
DEAL_0002,Account_411,MM,David Wilson,Discovery,36112.93,2025-05-23,2025-08-06,2025-07-20,72,0.264,9537.32,Open,Google Ads
DEAL_0003,Account_347,MM,Alice Johnson,Closed_Lost,71521.71,2024-07-15,2024-08-12,2024-07-21,436,0.0,0.0,Closed_Lost,Referral
DEAL_0004,Account_317,SMB,David Wilson,Negotiation,26208.86,2024-09-05,2025-02-14,2024-09-11,384,0.767,20091.47,Open,Facebook Ads
DEAL_0005,Account_238,ENT,David Wilson,Closed_Lost,59195.08,2025-09-20,2025-12-07,2025-10-14,-14,0.0,0.0,Closed_Lost,Referral
DEAL_0006,Account_346,ENT,Alice Johnson,Discovery,110587.42,2024-10-18,2025-06-01,2024-12-17,287,0.247,27265.24,Open,Content Marketing
DEAL_0007,Account_007,ENT,Eva Brown,Negotiation,491986.27,2025-03-17,2025-06-12,2025-03-23,191,0.883,434649.52,Open,Inbound
DEAL_0008,Account_327,SMB,Eva Brown,Closed_Lost,10682.73,2025-03-16,2025-06-17,2025-03-24,190,0.0,0.0,Closed_Lost,LinkedIn
DEAL_0009,Account_125,MM,Bob Smith,Closed_Won,88343.8,2024-05-26,2024-10-16,2024-06-06,481,0.849,75025.71,Closed_Won,Google Ads
DEAL_0010,Account_263,SMB,Frank Miller,Demo,37343.97,2024-11-15,2025-06-12,2024-12-12,292,0.455,17000.16,Open,LinkedIn
DEAL_0011,Account_159,MM,Eva Brown,Closed_Lost,84266.46,2025-05-04,2025-06-11,2025-06-03,119,0.0,0.0,Closed_Lost,LinkedIn
DEAL_0012,Account_337,MM,Frank Miller,Negotiation,96083.74,2025-09-22,2026-04-02,2025-10-29,-29,0.813,78103.28,Open,Facebook Ads
DEAL_0013,Account_287,SMB,Alice Johnson,Demo,26642.96,2024-04-29,2025-01-23,2024-06-21,466,0.427,11373.16,Open,Content Marketing
DEAL_0014,Account_104,MM,Alice Johnson,Demo,57734.02,2025-03-09,2025-10-18,2025-05-06,147,0.46,26552.9,Open,LinkedIn
DEAL_0015,Account_297,SMB,Eva Brown,Closed_Won,25617.47,2024-06-09,2024-10-01,2024-08-02,424,1.0,25617.47,Closed_Won,LinkedIn
DEAL_0016,Account_054,ENT,David Wilson,Negotiation,142898.78,2024-07-29,2024-12-20,2024-08-08,418,0.659,94116.2,Open,Google Ads
DEAL_0017,Account_355,MM,Bob Smith,Demo,93048.4,2025-09-27,2026-05-08,2025-10-11,-11,0.429,39872.28,Open,Content Marketing
DEAL_0018,Account_394,ENT,Carol Davis,Demo,346157.8,2025-01-29,2025-07-31,2025-03-17,197,0.45,155888.44,Open,Inbound
DEAL_0019,Account_004,MM,Carol Davis,Demo,111093.93,2024-08-17,2024-12-02,2024-10-08,357,0.404,44921.47,Open,Google Ads
DEAL_0020,Account_073,SMB,Carol Davis,Negotiation,26858.14,2025-08-31,2026-03-21,2025-09-07,23,0.698,18735.04,Open,Content Marketing
DEAL_0021,Account_102,SMB,Bob Smith,Closed_Lost,13581.23,2024-09-27,2024-10-22,2024-09-28,367,0.0,0.0,Closed_Lost,LinkedIn
DEAL_0022,Account_174,SMB,Eva Brown,Demo,19041.81,2025-01-05,2025-09-06,2025-01-16,257,0.506,9635.37,Open,Facebook Ads
DEAL_0023,Account_135,SMB,Alice Johnson,Demo,18791.52,2025-09-08,2025-12-22,2025-10-31,-31,0.393,7380.95,Open,Google Ads
DEAL_0024,Account_454,ENT,Alice Johnson,Demo,219280.46,2024-09-07,2025-04-22,2024-10-27,338,0.451,98964.15,Open,LinkedIn
DEAL_0025,Account_415,SMB,Carol Davis,Negotiation,19547.54,2024-06-20,2024-10-19,2024-07-13,444,0.738,14424.29,Open,Inbound
DEAL_0026,Account_061,SMB,Bob Smith,Closed_Lost,40731.0,2024-07-13,2024-11-01,2024-07-17,440,0.0,0.0,Closed_Lost,Facebook Ads
DEAL_0027,Account_163,SMB,Eva Brown,Demo,33481.43,2024-09-08,2025-05-03,2024-10-01,364,0.397,13283.24,Open,Content Marketing
DEAL_0028,Account_301,ENT,Bob Smith,Demo,1508545.18,2025-08-14,2026-04-26,2025-09-22,8,0.497,750209.1,Open,Referral
DEAL_0029,Account_323,MM,Carol Davis,Demo,102279.09,2024-10-30,2025-03-02,2024-11-02,332,0.398,40666.78,Open,Facebook Ads
DEAL_0030,Account_042,ENT,David Wilson,Closed_Lost,388280.67,2024-05-18,2024-07-03,2024-07-03,454,0.0,0.0,Closed_Lost,Inbound
DEAL_0031,Account_385,ENT,Frank Miller,Discovery,174570.35,2025-04-12,2025-10-19,2025-05-06,147,0.208,36307.23,Open,Referral
DEAL_0032,Account_165,MM,Frank Miller,Closed_Won,35608.99,2024-04-17,2024-09-12,2024-04-28,520,1.0,35608.99,Closed_Won,LinkedIn
DEAL_0033,Account_298,ENT,David Wilson,Closed_Won,404512.1,2024-05-12,2024-10-10,2024-05-29,489,1.0,404512.1,Closed_Won,Inbound
DEAL_0034,Account_104,ENT,David Wilson,Discovery,315415.45,2025-03-02,2025-06-26,2025-04-28,155,0.248,78343.15,Open,Facebook Ads
DEAL_0035,Account_194,MM,Eva Brown,Demo,58760.15,2024-11-21,2025-05-08,2025-01-16,257,0.463,27205.97,Open,Facebook Ads
DEAL_0036,Account_044,MM,Carol Davis,Negotiation,122772.51,2025-07-06,2025-10-08,2025-08-23,38,0.75,92124.15,Open,Content Marketing
DEAL_0037,Account_239,ENT,Eva Brown,Negotiation,466610.0,2025-02-07,2025-09-04,2025-02-09,233,0.734,342430.99,Open,Referral
DEAL_0038,Account_210,MM,Carol Davis,Closed_Won,41650.81,2024-06-26,2024-11-22,2024-07-23,434,0.999,41607.65,Closed_Won,Content Marketing
DEAL_0039,Account_227,MM,Bob Smith,Negotiation,79923.62,2024-09-04,2024-11-09,2024-09-15,380,0.744,59451.01,Open,LinkedIn
DEAL_0040,Account_151,ENT,Eva Brown,Discovery,490181.76,2024-09-28,2025-07-15,2024-10-03,362,0.27,132414.05,Open,Referral
DEAL_0041,Account_051,ENT,Alice Johnson,Discovery,73453.95,2024-12-21,2025-10-14,2025-01-04,269,0.288,21181.12,Open,Google Ads
DEAL_0042,Account_346,MM,Carol Davis,Discovery,14478.11,2025-03-09,2025-08-01,2025-03-21,193,0.304,4398.1,Open,LinkedIn
DEAL_0043,Account_071,MM,Frank Miller,Negotiation,63124.24,2025-03-19,2025-11-14,2025-04-26,157,0.736,46445.7,Open,Inbound
DEAL_0044,Account_145,ENT,Carol Davis,Negotiation,191771.78,2025-09-22,2026-06-06,2025-10-11,-11,0.779,149369.2,Open,Content Marketing
DEAL_0045,Account_263,MM,Bob Smith,Closed_Lost,74988.16,2025-09-18,2025-12-07,2025-10-29,-29,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0046,Account_265,SMB,Eva Brown,Demo,48102.54,2025-02-28,2025-08-28,2025-03-14,200,0.475,22870.44,Open,Referral
DEAL_0047,Account_434,MM,Bob Smith,Closed_Won,42190.95,2024-10-17,2024-12-07,2024-11-06,328,1.0,42190.95,Closed_Won,Content Marketing
DEAL_0048,Account_437,ENT,Eva Brown,Closed_Won,288643.47,2025-02-28,2025-07-20,2025-03-28,186,0.945,272904.5,Closed_Won,Google Ads
DEAL_0049,Account_378,MM,Alice Johnson,Demo,120635.21,2025-05-22,2025-10-07,2025-07-21,71,0.443,53430.45,Open,Content Marketing
DEAL_0050,Account_218,ENT,Frank Miller,Negotiation,171253.67,2024-10-18,2025-02-12,2024-11-13,321,0.731,125243.21,Open,Content Marketing
DEAL_0051,Account_012,ENT,Eva Brown,Closed_Lost,36548.3,2024-11-28,2025-01-28,2025-01-04,269,0.0,0.0,Closed_Lost,Google Ads
DEAL_0052,Account_410,SMB,Eva Brown,Demo,35711.13,2024-10-27,2025-05-20,2024-12-06,298,0.449,16033.99,Open,Referral
DEAL_0053,Account_201,ENT,Alice Johnson,Closed_Won,81343.98,2024-09-05,2024-11-26,2024-11-04,330,1.0,81343.98,Closed_Won,Referral
DEAL_0054,Account_292,MM,David Wilson,Demo,62697.9,2024-06-01,2024-08-27,2024-06-22,465,0.395,24767.5,Open,Inbound
DEAL_0055,Account_284,MM,Bob Smith,Discovery,281771.26,2025-04-08,2025-07-03,2025-05-21,132,0.224,63023.97,Open,Google Ads
DEAL_0056,Account_102,ENT,Alice Johnson,Closed_Lost,370169.65,2024-05-18,2024-06-10,2024-05-29,489,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0057,Account_269,MM,Alice Johnson,Demo,81368.17,2025-02-04,2025-06-18,2025-03-18,196,0.409,33312.28,Open,Content Marketing
DEAL_0058,Account_168,SMB,David Wilson,Negotiation,13453.29,2024-04-18,2024-06-19,2024-04-28,520,0.789,10616.87,Open,Content Marketing
DEAL_0059,Account_245,SMB,Frank Miller,Discovery,30615.95,2025-05-21,2025-12-04,2025-06-16,106,0.279,8530.1,Open,Google Ads
DEAL_0060,Account_159,MM,David Wilson,Demo,73468.66,2025-05-20,2026-02-26,2025-06-02,120,0.55,40401.58,Open,Inbound
DEAL_0061,Account_159,ENT,Eva Brown,Closed_Won,241328.73,2025-04-21,2025-10-15,2025-06-20,102,1.0,241328.73,Closed_Won,Facebook Ads
DEAL_0062,Account_074,ENT,David Wilson,Closed_Won,77278.59,2024-12-22,2025-03-13,2024-12-22,282,0.939,72533.03,Closed_Won,Google Ads
DEAL_0063,Account_467,MM,Eva Brown,Closed_Lost,102441.91,2025-01-21,2025-04-18,2025-02-11,231,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0064,Account_331,MM,David Wilson,Closed_Won,83939.64,2025-08-21,2025-10-13,2025-09-08,22,0.918,77086.02,Closed_Won,LinkedIn
DEAL_0065,Account_415,ENT,Bob Smith,Negotiation,217822.44,2024-08-26,2025-03-30,2024-10-17,348,0.759,165303.48,Open,Content Marketing
DEAL_0066,Account_467,SMB,Frank Miller,Demo,13855.17,2024-07-15,2025-01-08,2024-08-08,418,0.479,6635.44,Open,Facebook Ads
DEAL_0067,Account_485,ENT,Alice Johnson,Closed_Lost,60841.49,2025-06-25,2025-09-03,2025-08-08,53,0.0,0.0,Closed_Lost,Facebook Ads
